Round,Clients,Latent Dim,Hidden Dim,Rounds,Epochs,Batch Size,Learning Rate,Gamma,Step,fraction-fit,Strategy,Recon Weight,Class Weight,KLD Weight,Beta VAE,Proximal Mu,Eta Adagrad,Eta Adam,Beta 1,Beta 2,Patience,Min Delta,Accuracy,F1 Score,Precision,Recall,Train Loss
1,3,10,512,100,5,32,0.01,0.1,10,1.0,fedavg,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30,0.0,0.048636704886704886,0.004788117288117288,0.0025238326139546963,0.048636704886704886,7.0328333377838135
2,3,10,512,100,5,32,0.01,0.1,10,1.0,fedavg,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30,0.0,0.048636704886704886,0.004788117288117288,0.0025238326139546963,0.048636704886704886,7.050594170888265
3,3,10,512,100,5,32,0.01,0.1,10,1.0,fedavg,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30,0.0,0.0576457138957139,0.016848760927708293,0.02056890471308085,0.0576457138957139,7.035549163818359
4,3,10,512,100,5,32,0.01,0.1,10,1.0,fedavg,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30,0.0,0.16502013377013378,0.11766588275208963,0.1194666132670165,0.16502013377013378,6.9297730922698975
5,3,10,512,100,5,32,0.01,0.1,10,1.0,fedavg,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30,0.0,0.4021805896805897,0.4004894482526062,0.5545381211541698,0.4021805896805897,6.619199355443318
6,3,10,512,100,5,32,0.01,0.1,10,1.0,fedavg,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30,0.0,0.6217837155337156,0.5725857547827244,0.5814667345917346,0.6217837155337156,6.190289656321208
7,3,10,512,100,5,32,0.01,0.1,10,1.0,fedavg,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30,0.0,0.6391704204204204,0.5741722106305439,0.5712336727961728,0.6391704204204204,5.736603816350301
8,3,10,512,100,5,32,0.01,0.1,10,1.0,fedavg,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30,0.0,0.6783374283374283,0.6056835515168849,0.5958815146315146,0.6783374283374283,5.125685373942058
9,3,10,512,100,5,32,0.01,0.1,10,1.0,fedavg,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30,0.0,0.7334834834834835,0.6982645930562597,0.7481106106106106,0.7334834834834835,4.759286522865295
10,3,10,512,100,5,32,0.01,0.1,10,1.0,fedavg,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30,0.0,0.7348911411411412,0.7102246778383142,0.7516393524206024,0.7348911411411412,4.283840298652649
11,3,10,512,100,5,32,0.01,0.1,10,1.0,fedavg,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30,0.0,0.782435844935845,0.7693704859424558,0.8507002132002132,0.782435844935845,3.94963002204895
12,3,10,512,100,5,32,0.01,0.1,10,1.0,fedavg,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30,0.0,0.797220515970516,0.7782111791581489,0.8433172214422214,0.797220515970516,3.7695579131444297
13,3,10,512,100,5,32,0.01,0.1,10,1.0,fedavg,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30,0.0,0.7799361861861861,0.7692973828390496,0.8586373305123306,0.7799361861861861,3.5141234000523887
14,3,10,512,100,5,32,0.01,0.1,10,1.0,fedavg,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30,0.0,0.8051375238875238,0.7991836939753606,0.8772262522262522,0.8051375238875238,3.8297706842422485
15,3,10,512,100,5,32,0.01,0.1,10,1.0,fedavg,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30,0.0,0.8324802074802076,0.8384827884827885,0.9252050345800346,0.8324802074802076,3.414848248163859
16,3,10,512,100,5,32,0.01,0.1,10,1.0,fedavg,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30,0.0,0.833256552006552,0.8317489660292691,0.8870219651469652,0.833256552006552,3.4514225323994956
17,3,10,512,100,5,32,0.01,0.1,10,1.0,fedavg,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30,0.0,0.8934019246519247,0.8994544962347993,0.931275025025025,0.8934019246519247,2.9886032938957214
18,3,10,512,100,5,32,0.01,0.1,10,1.0,fedavg,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30,0.0,0.9038185913185913,0.904422894953198,0.93628458003458,0.9038185913185913,3.2681681712468467
19,3,10,512,100,5,32,0.01,0.1,10,1.0,fedavg,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30,0.0,0.9229286104286105,0.9253810087143419,0.9463678166803167,0.9229286104286105,2.9811630249023438
20,3,10,512,100,5,32,0.01,0.1,10,1.0,fedavg,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30,0.0,0.8349798662298662,0.836544057756179,0.8953721172471173,0.8349798662298662,3.229981263478597
21,3,10,512,100,5,32,0.01,0.1,10,1.0,fedavg,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30,0.0,0.8937175812175813,0.8945775726078756,0.9234845641095641,0.8937175812175813,3.052394211292267
22,3,10,512,100,5,32,0.01,0.1,10,1.0,fedavg,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30,0.0,0.8447652197652197,0.8466478008144674,0.8986707283582284,0.8447652197652197,3.420861840248108
23,3,10,512,100,5,32,0.01,0.1,10,1.0,fedavg,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30,0.0,0.8850242287742288,0.8885781707751405,0.9292778574028574,0.8850242287742288,2.9558284680048623
24,3,10,512,100,5,32,0.01,0.1,10,1.0,fedavg,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30,0.0,0.8764759077259078,0.8747515569485266,0.9127191111566112,0.8764759077259078,3.5344828565915427
25,3,10,512,100,5,32,0.01,0.1,10,1.0,fedavg,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30,0.0,0.8753839066339065,0.8750750209083543,0.9220469454844454,0.8753839066339065,3.3637346426645913
26,3,10,512,100,5,32,0.01,0.1,10,1.0,fedavg,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30,0.0,0.8641908954408954,0.8632625632625633,0.9132214600964601,0.8641908954408954,3.0903426806131997
27,3,10,512,100,5,32,0.01,0.1,10,1.0,fedavg,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30,0.0,0.8663748976248976,0.8648782804085835,0.9038193022568022,0.8663748976248976,3.300638477007548
28,3,10,512,100,5,32,0.01,0.1,10,1.0,fedavg,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30,0.0,0.8655985530985532,0.8634546967880302,0.9045643655018655,0.8655985530985532,3.210263192653656
29,3,10,512,100,5,32,0.01,0.1,10,1.0,fedavg,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30,0.0,0.8620068932568933,0.8719845780451841,0.9251160657410659,0.8620068932568933,3.1014284094174704
30,3,10,512,100,5,32,0.01,0.1,10,1.0,fedavg,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30,0.0,0.8836165711165712,0.8885262968596302,0.9327961484211483,0.8836165711165712,3.639455556869507
31,3,10,512,100,5,32,0.01,0.1,10,1.0,fedavg,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30,0.0,0.855497542997543,0.8561237070706768,0.9047271703521704,0.855497542997543,3.005733092625936
32,3,10,512,100,5,32,0.01,0.1,10,1.0,fedavg,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30,0.0,0.866059241059241,0.8625178030481059,0.9054590101465102,0.866059241059241,3.749415417512258
33,3,10,512,100,5,32,0.01,0.1,10,1.0,fedavg,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30,0.0,0.8357562107562108,0.8342266988100322,0.8812436421811422,0.8357562107562108,3.2880921363830566
